store_id,store_name,neighborhood,excel_sheet,excel_naver_url_exists,extracted_address,kakao_query,unresolved_reason,recommended_action
248fb06bce3aa6e4,더바른 정국밥 미평점,미평동,,no,,더바른 정국밥 미평점 미평동,네이버지도 링크 없음,기존 Notion 페이지에 해당 가게의 정확한 네이버지도 링크 확인
d1c9de66c95c1d46,덮밥전문점 고기그릇 공화동점,공화동,,no,,덮밥전문점 고기그릇 공화동점 공화동,네이버지도 링크 없음,기존 Notion 페이지에 해당 가게의 정확한 네이버지도 링크 확인
634cd6c2572df494,도도닭발&오돌뼈 봉산점,봉산동,,no,,도도닭발&오돌뼈 봉산점 봉산동,네이버지도 링크 없음,기존 Notion 페이지에 해당 가게의 정확한 네이버지도 링크 확인
950ba1c64e791621,돈도니밥도둑짜글이 국동점,국동,,no,,돈도니밥도둑짜글이 국동점 국동,네이버지도 링크 없음,기존 Notion 페이지에 해당 가게의 정확한 네이버지도 링크 확인
1ae0c16d309d1556,둥이식당 봉강점,봉강동,,no,,둥이식당 봉강점 봉강동,네이버지도 링크 없음,기존 Notion 페이지에 해당 가게의 정확한 네이버지도 링크 확인
e334f4707bd1046f,떡순이 알찬만두 문수점,문수동,,no,,떡순이 알찬만두 문수점 문수동,네이버지도 링크 없음,기존 Notion 페이지에 해당 가게의 정확한 네이버지도 링크 확인
bee72f182a400ed4,뚱땡이숯불두마리치킨 직영점(학동),학동,,no,,뚱땡이숯불두마리치킨 직영점(학동) 학동,네이버지도 링크 없음,기존 Notion 페이지에 해당 가게의 정확한 네이버지도 링크 확인
9c7b5c85a8c79a6a,마라월드 마라탕&마라상궈 여수문수점,문수동,,no,,마라월드 마라탕&마라상궈 여수문수점 문수동,네이버지도 링크 없음,기존 Notion 페이지에 해당 가게의 정확한 네이버지도 링크 확인
e74e79529019bad1,마포매운쌀떡볶이 문수점,문수동,,no,,마포매운쌀떡볶이 문수점 문수동,네이버지도 링크 없음,기존 Notion 페이지에 해당 가게의 정확한 네이버지도 링크 확인
a3297f2e48bf9793,마형제 족발보쌈 학동점,학동,,no,,마형제 족발보쌈 학동점 학동,가게명·지점명·동네 불일치,Notion 가게명과 네이버 장소명·지점·동네를 수동 대조
f57b6ed2e480011d,막국수파는집 문수본점,문수동,,no,,막국수파는집 문수본점 문수동,네이버지도 링크 없음,기존 Notion 페이지에 해당 가게의 정확한 네이버지도 링크 확인
